year,period,imports,exportsfob,balance,total_trade,crude_oil_exports,non_crude_oil_exports,non_oils_exports,exports_/_total_trade,crude_oil_/total_exports,non_oil_export/total_export,change_imports,change_exports,frequency
2020,Jan-Dec,12700943.807826,12522684.44384747,-178259.36397852935,25223628.251673467,9444655.98263812,3078028.4612093493,1433402.5234599148,49.64664210437945,75.42037831415917,11.446447683700606,-25.111807952349185,-34.75129384107341,annual_or_ytd
2021,Jan-Dec,20843964.95246192,18907788.71377243,-1936176.2386894897,39751753.66623435,14410769.083667489,4497019.630104944,2141085.5123127066,47.56466563092271,76.21604674041383,11.323828210292724,64.11351209678134,50.98830285595859,annual_or_ytd
2022,Jan-Dec,25590547.409467533,26796754.862631693,1206207.4531641577,52387302.27209923,21099177.58424936,5697577.278382329,2557034.5463610487,51.15124028232941,78.73780871008506,9.542329134513432,22.77197485138251,41.7233673819982,annual_or_ytd
2023,Jan-Dec,30863065.536190365,35962392.442685425,5099326.906495061,66825457.978875786,29000603.57043057,6961788.872254856,3143854.227382579,53.81540737671189,80.64147460892622,8.742060841455569,20.603381562569464,34.20428192532855,annual_or_ytd
2024,Jan-Sept,42141998.00658648,57199371.750963554,15057373.744377077,99341369.75755005,41502394.736860014,15696977.01410354,6224946.610305969,57.578601835834206,72.55743108080708,10.8828933251371,,,annual_or_ytd
